name,description,price,imageUrl,productUrl,platform,occasions,interests,ageMin,ageMax
LOFIR Men's Long Plush Hooded Robe,"Warm plush hooded bathrobe with side pockets and belt, plus sizes available — a cozy classic for dads and homebodies.",35.87,https://i5.walmartimages.com/seo/Robes-Men-LOFIR-Long-Mens-Robes-Warm-Soft-Plush-Mens-Robe-Hood-Plus-Size-Plus-Thick-Robe-Men-Side-Pocket-Belt-Bathrobes-Men-Gifts-Gray-XL_6a19b195-1845-4096-9f2e-bbcfac59c767.7cd8602cd4576d349d5f52915d7f08ab.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,https://www.walmart.com/ip/Robes-Men-LOFIR-Long-Mens-Robes-Warm-Soft-Plush-Mens-Robe-Hood-Plus-Size-Plus-Thick-Robe-Men-Side-Pocket-Belt-Bathrobes-Men-Gifts-Gray-XL/2247409624,Walmart,Birthday|Christmas|Father's Day,Self-care|Home Decor,18,99
Fulsmile 2.5ft Kids Bean Bag Chair,Memory-foam kids bean bag with a soft removable cover — reading corner and gaming seat in one.,41.99,https://i5.walmartimages.com/seo/Fulsmile-2-5Ft-Bean-Bag-Chair-Kids-Memory-Foam-Filling-Kid-Beanbag-Chair-Plush-Chair-Detachable-Soft-Cover-Bedroom-Living-Room-Chevron-Grey_8f980262-e6e4-4c14-b40a-a471ba0c1fbb.d8d14a618ee298ed61faba213740624d.jpeg?odnHeight=573&odnWidth=573&odnBg=FFFFFF,https://www.walmart.com/ip/Fulsmile-2-5Ft-Bean-Bag-Chair-Kids-Memory-Foam-Filling-Kid-Beanbag-Chair-Plush-Chair-Detachable-Soft-Cover-Bedroom-Living-Room-Chevron-Grey/19632268964,Walmart,Birthday|Christmas,Gaming|Reading|Home Decor,3,12
Smart Watch Fitness Tracker (1.96-inch Touch Screen),"Budget-friendly fitness watch with a large touch screen for step, heart-rate, and workout tracking.",26.91,https://i5.walmartimages.com/seo/Smart-Watch-Fitness-Tracker-1-96-Touch-Screen-Fitness-Watch_cd80ff6f-dc0d-488e-ae01-c9cf30152c75.14134194aac06d2d9291c1582a69e043.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,https://www.walmart.com/ip/Smart-Watch-Fitness-Tracker-1-96-Touch-Screen-Fitness-Watch/19918962754,Walmart,Birthday|Christmas|Graduation,Fitness|Tech,13,99
Personalized Photo Projection Bracelet,Custom bracelet that projects a hidden photo — a sentimental keepsake for partners and family.,15.2,https://i.etsystatic.com/44802764/r/il/74647d/6501115237/il_1588xN.6501115237_8ab8.jpg,https://www.etsy.com/listing/1797561834/personalized-photo-projection-bracelet,Etsy,Anniversary|Valentine's Day|Birthday,Jewelry|Personalized,13,99
Personalized Name Necklace for Men,Custom name necklace for men — a personalized Valentine's or anniversary piece.,75.5,https://i.etsystatic.com/17552750/r/il/25f2a4/6080127670/il_1588xN.6080127670_b59g.jpg,https://www.etsy.com/listing/1751946149/name-necklace-for-men-valentines-gift,Etsy,Valentine's Day|Anniversary|Birthday,Jewelry|Personalized|Fashion,16,99
Personalized Men's Bracelet (Custom Engraving),Men's bracelet with custom engraving — personal without being flashy.,31.32,https://i.etsystatic.com/38291599/r/il/ee68bf/4364272738/il_1588xN.4364272738_o1cz.jpg,https://www.etsy.com/listing/1351031649/personalized-mens-bracelet-in-custom,Etsy,Valentine's Day|Anniversary|Birthday|Father's Day,Jewelry|Personalized,16,99
Joopin Vintage Butterfly Sunglasses (Women),"Retro square butterfly-frame sunglasses — an easy, stylish stocking-stuffer-priced pick.",13.99,https://i5.walmartimages.com/seo/Joopin-Vintage-Women-Butterfly-Sunglasses-Designer-Square-Sun-Glasses-Shades_f623ea87-4874-4ed4-848d-64c52ad349aa.5a778aaf350b06a1ff41fc30bd67d392.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,https://www.walmart.com/ip/Joopin-Vintage-Women-Butterfly-Sunglasses-Designer-Square-Sun-Glasses-Shades/19956616147,Walmart,Birthday|Christmas,Fashion|Travel,13,99
Joopin Polarized Aviator Sunglasses (Men),"Classic polarized pilot sunglasses — practical, unisex-leaning, and under $15.",11.69,https://i5.walmartimages.com/seo/Joopin-Rectangle-Polarized-Aviation-Sunglasses-for-Men-Women-Classic-Pilot-Sun-Glasses-Black_13990557-e000-4d9c-85ff-e0234050c150.5eeae60cf65dabc93379dc3b520a3e13.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,https://www.walmart.com/ip/Joopin-Rectangle-Polarized-Aviation-Sunglasses-for-Men-Women-Classic-Pilot-Sun-Glasses-Black/3247208998,Walmart,Birthday|Christmas|Father's Day,Fashion|Travel|Outdoors,13,99
Boxing Ring Streetwear Poster,Bold hypebeast-style boxing ring wall art print for a streetwear-themed room.,44.29,https://i.etsystatic.com/66864992/r/il/35fe0c/8220270044/il_1588xN.8220270044_d4ka.jpg,https://www.etsy.com/listing/4533657922/supreme-boxing-ring-poster-hypebeast,Etsy,Birthday|Christmas|Graduation,Home Decor|Fashion|Sports,13,35
Porsche Vinyl Record Wall Art,Aesthetic vinyl-record wall piece with a Porsche motif — car-guy room decor that looks intentional.,43,https://i.etsystatic.com/64977973/r/il/1f529d/8045276434/il_1588xN.8045276434_pxje.jpg,https://www.etsy.com/listing/4509046459/porsche-vinyl-record-aesthetic-wall-art,Etsy,Birthday|Christmas|Graduation,Home Decor|Cars|Music,13,99
